LJ001-0001|pɹˈɪntɪŋ , ˈɪn ðə ˈoʊnli sˈɛns wˈɪθ wˈɪt͡ʃ wˈi ˈɑɹ ˈæt pɹˈɛzənt kənsˈɚnd , dˈɪfɚz fɹˈʌm mˈoʊst ˈɪf nˈɑt fɹˈʌm ˈɔl ðə ˈɑɹts ˈænd kɹˈæfts ɹˌɛpɹɪzˈɛntɪd ˈɪn ðə ˌɛksɪbˈɪʃən
LJ001-0002|ˈɪn bˈiɪŋ kəmpˈɛɹɪtɪvli mˈɑdɚn .
LJ001-0003|fɚ ɔlðˈoʊ ðə t͡ʃaɪnˈiz tˈʊk ɪmpɹˈɛʃənz fɹˈʌm wˈʊd blˈɑks ɪŋɡɹˈeɪvd ˈɪn ɹɪlˈif fɚ sˈɛnt͡ʃɚiz bɪfˈɔɹ ðə wˈʊdkˌʌtɚz əv ðə nˈɛðɚləndz , bˈaɪ ə sˈɪmɪlɚ pɹˈɑsˌɛs
LJ001-0004|pɹədˈust ðə blˈɑk bˈʊks , wˈɪt͡ʃ wɚ ðə ɪmˈidiɪt pɹˈɛdəsˌɛsɚz əv ðə tɹˈu pɹˈɪntɪd bˈʊk ,
LJ001-0005|ðə ɪnvˈɛnʃən əv mˈuvəbəl mˈɛtəl lˈɛtɚz ˈɪn ðə mˈɪdəl əv ðə fɪftˈinθ sˈɛnt͡ʃɚi mˈeɪ d͡ʒˈʌstli bˈi kənsˈɪdɚd ˈæz ðə ɪnvˈɛnʃən əv ðə ˈɑɹt əv pɹˈɪntɪŋ .
LJ001-0006|ˈænd ˈɪt ˈɪz wˈɚθ mˈɛnʃən ˈɪn pˈæsɪŋ ðˈæt , ˈæz ən ɪɡzˈæmpəl əv fˈaɪn təpˈɑɡɹəfi ,
LJ001-0007|ðə ˈɚliɪst bˈʊk pɹˈɪntɪd wˈɪθ mˈuvəbəl tˈaɪps , ðə ɡˈutənbɚɡ , ˈɔɹ fˈɔɹti tˈu lˈaɪn bˈaɪbəl əv əbˈaʊt fˌɔɹtˈin fˈɪfti fˈaɪv ,
LJ001-0008|hˈæz nˈɛvɚ bˈɪn sɚpˈæst .
LJ001-0009|pɹˈɪntɪŋ , ðˈɛn , fɚ ˈaʊɚ pˈɚpəs , mˈeɪ bˈi kənsˈɪdɚd ˈæz ðə ˈɑɹt əv mˈeɪkɪŋ bˈʊks bˈaɪ mˈinz əv mˈuvəbəl tˈaɪps .
LJ001-0010|nˈaʊ , ˈæz ˈɔl bˈʊks nˈɑt pɹaɪmˈɛɹəli ɪntˈɛndɪd ˈæz pˈɪkt͡ʃɚ bˈʊks kənsˈɪst pɹˈɪnsɪpli əv tˈaɪps kəmpˈoʊzd tə fˈɔɹm lˈɛtɚpɹˌɛs ,
LJ001-0011|ˈɪt ˈɪz əv ðə fˈɚst ɪmpˈɔɹtəns ðˈæt ðə lˈɛtɚ jˈust ʃˈʊd bˈi fˈaɪn ˈɪn fˈɔɹm ;
LJ001-0012|ɪspˈɛʃli ˈæz nˈoʊ mˈɔɹ tˈaɪm ˈɪz ˈɑkjəpˌaɪd , ˈɔɹ kˈɔst ɪŋkˈɚd , ˈɪn kˈæstɪŋ , sˈɛtɪŋ , ˈɔɹ pɹˈɪntɪŋ bjˈutɪfəl lˈɛtɚz
LJ001-0013|ðən ˈɪn ðə sˈeɪm ˌɑpɚˈeɪʃənz wˈɪθ ˈʌɡli wˈʌnz .
LJ001-0014|ˈænd ˈɪt wəz ə mˈætɚ əv kˈɔɹs ðˈæt ˈɪn ðə mˈɪdəl ˈeɪd͡ʒɪz , wˈɛn ðə kɹˈæftsmɛn tˈʊk kˈɛɹ ðˈæt bjˈutɪfəl fˈɔɹm ʃˈʊd ˈɔlwˌeɪz bˈi ə pˈɑɹt əv ðˈɛɹ pɹədˈʌkʃənz wˌʌtˈɛvɚ ðˈeɪ wɚ ,
LJ001-0015|ðə fˈɔɹmz əv pɹˈɪntɪd lˈɛtɚz ʃˈʊd bˈi bjˈutɪfəl , ˈænd ðˈæt ðˈɛɹ ɚˈeɪnd͡ʒmənt ˈɔn ðə pˈeɪd͡ʒ ʃˈʊd bˈi ɹˈiznəbəl ˈænd ə hˈɛlp tə ðə ʃˈæplɪns əv ðə lˈɛtɚz ðəmsˈɛlvz .
LJ001-0016|ðə mˈɪdəl ˈeɪd͡ʒɪz bɹˈɔt kəlˈɪɡɹəfi tə pɚfˈɛkʃən , ˈænd ˈɪt wəz nˈæt͡ʃɚəl ðˈɛɹfˌɔɹ
LJ001-0017|ðˈæt ðə fˈɔɹmz əv pɹˈɪntɪd lˈɛtɚz ʃˈʊd fˈɑloʊ mˈɔɹ ˈɔɹ lˈɛs klˈoʊsli ðˈoʊz əv ðə ɹˈɪtən kˈɛɹɪktɚ , ˈænd ðˈeɪ fˈɑloʊd ðˈɛm vˈɛɹi klˈoʊsli .
LJ001-0018|ðə fˈɚst bˈʊks wɚ pɹˈɪntɪd ˈɪn blˈæk lˈɛtɚ , ˈaɪ ˈi ðə lˈɛtɚ wˈɪt͡ʃ wəz ə ɡˈɑθɪk dɪvˈɛləpmənt əv ðə ˈeɪnʃənt ɹˈoʊmən kˈɛɹɪktɚ ,
LJ001-0019|ˈænd wˈɪt͡ʃ dɪvˈɛləpt mˈɔɹ kəmplˈitli ˈænd sˌætɪsfˈæktɚəli ˈɔn ðə sˈaɪd əv ðə lˈoʊɚ kˈeɪs ðən ðə kˈæpɪtəl lˈɛtɚz ;
LJ001-0020|ðə lˈoʊɚ kˈeɪs bˈiɪŋ ˈɪn fˈækt ɪnvˈɛntɪd ˈɪn ðə ˈɚli mˈɪdəl ˈeɪd͡ʒɪz .
LJ001-0021|ðə ˈɚliɪst bˈʊk pɹˈɪntɪd wˈɪθ mˈuvəbəl tˈaɪp , ðə əfˈɔɹsˌɛd ɡˈutənbɚɡ bˈaɪbəl , ˈɪz pɹˈɪntɪd ˈɪn lˈɛtɚz wˈɪt͡ʃ ˈɑɹ ən ɪɡzˈækt ˌɪmətˈeɪʃən
LJ001-0022|əv ðə mˈɔɹ fˈɔɹməl ɪklˌiziˈæstɪkəl ɹˈaɪtɪŋ wˈɪt͡ʃ əbtˈeɪnd ˈæt ðˈæt tˈaɪm ; ðˈɪs hˈæz sˈɪns bˈɪn kˈɔld mˈɪsəl tˈaɪp ,
