LJ001-0001|printing, in the only sense with which we are at present concerned, differs from most if not from all the arts and crafts represented in the exhibition
LJ001-0002|in being comparatively modern.
LJ001-0003|for although the chinese took impressions from wood blocks engraved in relief for centuries before the woodcutters of the netherlands, by a similar process
LJ001-0004|produced the block books, which were the immediate predecessors of the true printed book,
LJ001-0005|the invention of movable metal letters in the middle of the fifteenth century may justly be considered as the invention of the art of printing.
LJ001-0006|and it is worth mention in passing that, as an example of fine typography,
LJ001-0007|the earliest book printed with movable types, the gutenberg, or "forty-two line bible" of about fourteen fifty-five,
LJ001-0008|has never been surpassed.
LJ001-0009|printing, then, for our purpose, may be considered as the art of making books by means of movable types.
LJ001-0010|now, as all books not primarily intended as picture-books consist principally of types composed to form letterpress,
LJ001-0011|it is of the first importance that the letter used should be fine in form;
LJ001-0012|especially as no more time is occupied, or cost incurred, in casting, setting, or printing beautiful letters
LJ001-0013|than in the same operations with ugly ones.
LJ001-0014|and it was a matter of course that in the middle ages, when the craftsmen took care that beautiful form should always be a part of their productions whatever they were,
LJ001-0015|the forms of printed letters should be beautiful, and that their arrangement on the page should be reasonable and a help to the shapeliness of the letters themselves.
LJ001-0016|the middle ages brought calligraphy to perfection, and it was natural therefore
LJ001-0017|that the forms of printed letters should follow more or less closely those of the written character, and they followed them very closely.
LJ001-0018|the first books were printed in black letter, i.e. the letter which was a gothic development of the ancient roman character,
LJ001-0019|and which developed more completely and satisfactorily on the side of the "lower-case" than the capital letters;
LJ001-0020|the "lower-case" being in fact invented in the early middle ages.
LJ001-0021|the earliest book printed with movable type, the aforesaid gutenberg bible, is printed in letters which are an exact imitation
LJ001-0022|of the more formal ecclesiastical writing which obtained at that time; this has since been called "missal type,"
LJ001-0023|and was in fact the kind of letter used in the many splendid missals, psalters, etc., produced by printing in the fifteenth century.
LJ001-0024|but the first bible actually dated (which also was printed at maintz by peter schoeffer in the year fourteen sixty-two)
LJ001-0025|imitates a much freer hand, simpler, rounder, and less spiky, and therefore far pleasanter and easier to read.
LJ001-0026|on the whole the type of this book may be considered the ne-plus-ultra of gothic type,
LJ001-0027|especially as regards the lower-case letters; and type very similar was used during the next fifteen or twenty years not only by schoeffer,
LJ001-0028|but by printers in strasburg, basle, paris, lubeck, and other cities.
LJ001-0029|but though on the whole, except in italy, gothic letter was most often used
LJ001-0030|a very few years saw the birth of roman character not only in italy, but in germany and france.
LJ001-0031|in fourteen sixty-five sweynheim and pannartz began printing in the monastery of subiaco near rome,
LJ001-0032|and used an exceedingly beautiful type, which is indeed to look at a transition between gothic and roman,
LJ001-0033|but which must certainly have come from the study of the twelfth or even the eleventh century mss.
LJ001-0034|they printed very few books in this type, three only; but in their very first books in rome, beginning with the year fourteen sixty-eight,
LJ001-0035|they discarded this for a more completely roman and far less beautiful letter.
LJ001-0036|but about the same year mentelin at strasburg began to print in a type which is distinctly roman;
LJ001-0037|and the next year gunther zeiner at augsburg followed suit;
LJ001-0038|while in fourteen seventy at paris udalric gering and his associates turned out the first books printed in france, also in roman character.
LJ001-0039|the roman type of all these printers is similar in character,
LJ001-0040|and is very simple and legible, and unaffectedly designed for use; but it is by no means without beauty.
LJ001-0041|it must be said that it is in no way like the transition type of subiaco,
LJ001-0042|and though more roman than that, yet scarcely more like the complete roman type of the earliest printers of rome.
LJ001-0043|a further development of the roman letter took place at venice.
LJ001-0044|john of spires and his brother vindelin, followed by nicholas jenson, began to print in that city,
LJ001-0045|fourteen sixty-nine, fourteen seventy;
LJ001-0046|their type is on the lines of the german and french rather than of the roman printers.
LJ001-0047|of jenson it must be said that he carried the development of roman type as far as it can go:
LJ001-0048|his letter is admirably clear and regular, but at least as beautiful as any other roman type.
LJ001-0049|after his death in the "fourteen eighties," or at least by fourteen ninety, printing in venice had declined very much;
LJ001-0050|and though the famous family of aldus restored its technical excellence, rejecting battered letters,
LJ001-0051|and paying great attention to the "press work" or actual process of printing,
LJ001-0052|yet their type is artistically on a much lower level than jenson's, and in fact
LJ001-0053|they must be considered to have ended the age of fine printing in italy.
LJ001-0054|jenson, however, had many contemporaries who used beautiful type,
LJ001-0055|some of which -- as, e.g., that of jacobus rubeus or jacques le rouge -- is scarcely distinguishable from his.
LJ001-0056|it was these great venetian printers, together with their brethren of rome, milan,
LJ001-0057|parma, and one or two other cities, who produced the splendid editions of the classics, which are one of the great glories of the printer's art,
LJ001-0058|and are worthy representatives of the eager enthusiasm for the revived learning of that epoch. by far,
LJ001-0059|the greater part of these italian printers, it should be mentioned, were germans or frenchmen, working under the influence of italian opinion and aims.
LJ001-0060|it must be understood that through the whole of the fifteenth and the first quarter of the sixteenth centuries
LJ001-0061|the roman letter was used side by side with the gothic.
LJ001-0062|even in italy most of the theological and law books were printed in gothic letter,
LJ001-0063|which was generally more formally gothic than the printing of the german workmen,
LJ001-0064|many of whose types, indeed, like that of the subiaco works, are of a transitional character.
LJ001-0065|this was notably the case with the early works printed at ulm, and in a somewhat lesser degree at augsburg.
LJ001-0066|in fact gunther zeiner's first type (afterwards used by schussler) is remarkably like the type of the before-mentioned subiaco books.
LJ001-0067|in the low countries and cologne, which were very fertile of printed books, gothic was the favorite.
LJ001-0068|the characteristic dutch type, as represented by the excellent printer gerard leew, is very pronounced and uncompromising gothic.
LJ001-0069|this type was introduced into england by wynkyn de worde, caxton's successor,
LJ001-0070|and was used there with very little variation all through the sixteenth and seventeenth centuries, and indeed into the eighteenth.
LJ001-0071|most of caxton's own types are of an earlier character, though they also much resemble flemish or cologne letter.
LJ001-0072|after the end of the fifteenth century the degradation of printing, especially in germany and italy,
LJ001-0073|went on apace; and by the end of the sixteenth century there was no really beautiful printing done:
LJ001-0074|the best, mostly french or low-country, was neat and clear, but without any distinction;
LJ001-0075|the worst, which perhaps was the english, was a terrible falling-off from the work of the earlier presses;
LJ001-0076|and things got worse and worse through the whole of the seventeenth century, so that in the eighteenth printing was very miserably performed.
LJ001-0077|in england about this time, an attempt was made (notably by caslon, who started business in london as a type-founder in seventeen twenty)
LJ001-0078|to improve the letter in form.
LJ001-0079|caslon's type is clear and neat, and fairly well designed;
LJ001-0080|he seems to have taken the letter of the elzevirs of the seventeenth century for his model:
LJ001-0081|type cast from his matrices is still in everyday use.
LJ001-0082|in spite, however, of his praiseworthy efforts, printing had still one last degradation to undergo.
LJ001-0083|the seventeenth century founts were bad rather negatively than positively.
LJ001-0084|but for the beauty of the earlier work they might have seemed tolerable.
LJ001-0085|it was reserved for the founders of the later eighteenth century to produce letters which are positively ugly, and which, it may be added,
LJ001-0086|are dazzling and unpleasant to the eye owing to the clumsy thickening and vulgar thinning of the lines:
LJ001-0087|for the seventeenth-century letters are at least pure and simple in line. the italian, bodoni, and the frenchman, didot,
LJ001-0088|were the leaders in this luckless change, though our own baskerville, who was at work some years before them, went much on the same lines;
LJ001-0089|but his letters, though uninteresting and poor, are not nearly so gross and vulgar as those of either the italian or the frenchman.
LJ001-0090|with this change the art of printing touched bottom,
LJ001-0091|so far as fine printing is concerned, though paper did not get to its worst till about eighteen forty.
LJ001-0092|the chiswick press in eighteen forty-four revived caslon's founts, printing for messrs. longman the diary of lady willoughby.
LJ001-0093|this experiment was so far successful that about eighteen fifty messrs. miller and richard of edinburgh
LJ001-0094|were induced to cut punches for a series of "old style" letters.
LJ001-0095|these and similar founts, cast by the above firm and others,
LJ001-0096|have now come into general use and are obviously a great improvement on the ordinary "modern style" in use in england, which is in fact the bodoni type
LJ001-0097|a little reduced in ugliness. the design of the letters of this modern "old style" leaves a good deal to be desired,
